Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP1079,Male,Yes,1,Not Graduate,No,2094,0,64.0,360.0,1.0,Rural,Y
LP1080,Female,Yes,0,Graduate,No,4968,0,159.0,360.0,0.0,Semiurban,N
LP1081,Male,No,3+,Not Graduate,No,7806,0,192.0,360.0,1.0,Semiurban,Y
LP1082,Male,Yes,1,Not Graduate,No,4480,0,104.0,180.0,1.0,Semiurban,Y
LP1083,Male,Yes,2,Graduate,Yes,24860,1593,650.0,360.0,1.0,Semiurban,Y
LP1084,,No,0,Graduate,No,1634,1082,51.0,360.0,1.0,Urban,Y
LP1085,Male,Yes,2,Not Graduate,No,8393,0,162.0,360.0,1.0,Semiurban,Y
LP1086,Male,No,3+,Graduate,No,4009,0,83.0,180.0,1.0,Urban,Y
LP1087,Male,Yes,0,Not Graduate,No,7066,0,130.0,360.0,1.0,Semiurban,Y
LP1088,Female,Yes,1,Graduate,Yes,5795,0,130.0,360.0,0.0,Rural,N
LP1089,Male,Yes,2,Graduate,No,2864,0,95.0,360.0,0.0,Semiurban,N
LP1090,,No,0,Graduate,No,5102,2655,211.0,360.0,1.0,Urban,Y
LP1091,Male,No,0,Graduate,Yes,1458,777,51.0,480.0,0.0,Rural,N
LP1092,Male,No,0,Graduate,No,6386,3491,332.0,360.0,1.0,Semiurban,Y
LP1093,Male,Yes,0,Graduate,No,5318,837,98.0,360.0,1.0,Rural,Y
LP1094,Male,No,0,Graduate,Yes,6523,3147,185.0,120.0,1.0,Urban,Y
LP1095,Male,Yes,0,Graduate,No,8390,4379,336.0,360.0,1.0,Urban,Y
LP1096,Male,Yes,0,Graduate,No,5544,0,151.0,360.0,1.0,Semiurban,Y
LP1097,Male,No,0,Not Graduate,No,4860,2210,111.0,300.0,1.0,Rural,Y
LP1098,Male,Yes,3+,Not Graduate,No,2621,1502,95.0,240.0,1.0,Rural,Y
LP1099,Male,Yes,0,Graduate,No,2900,1140,113.0,360.0,1.0,Semiurban,Y
LP1100,Male,Yes,3+,Not Graduate,No,9063,5865,432.0,360.0,1.0,Semiurban,Y
LP1101,Male,Yes,0,Graduate,Yes,10528,0,292.0,360.0,1.0,Rural,Y
LP1102,Male,Yes,0,Graduate,No,3855,0,82.0,360.0,0.0,Urban,N
LP1103,Male,Yes,0,Not Graduate,No,4571,3078,129.0,360.0,1.0,Rural,Y
LP1104,Female,Yes,0,Graduate,No,2584,0,60.0,120.0,1.0,Urban,Y
LP1105,Male,No,0,Graduate,No,8988,845,172.0,360.0,1.0,Rural,Y
LP1106,Male,No,1,Not Graduate,No,6629,569,244.0,180.0,1.0,Urban,Y
LP1107,Male,Yes,0,Graduate,No,14253,1228,379.0,360.0,1.0,Semiurban,Y
LP1108,Male,Yes,1,Not Graduate,No,2625,1692,92.0,360.0,1.0,Urban,Y
LP1109,Male,Yes,1,Not Graduate,No,3544,0,107.0,360.0,0.0,Rural,N
LP1110,Male,Yes,0,Graduate,No,5109,0,127.0,360.0,1.0,Semiurban,Y
LP1111,Male,Yes,0,Not Graduate,No,6554,2755,197.0,180.0,,Urban,N
LP1112,Female,Yes,2,Graduate,No,3907,1552,170.0,360.0,1.0,Urban,Y
LP1113,Female,Yes,0,Graduate,No,2633,1542,135.0,360.0,1.0,Urban,Y
LP1114,Male,Yes,0,Graduate,No,7546,0,214.0,360.0,1.0,Rural,Y
LP1115,Female,Yes,3+,Not Graduate,No,6854,0,109.0,360.0,1.0,Rural,Y
LP1116,Female,Yes,0,Graduate,No,2566,2000,120.0,360.0,1.0,Semiurban,Y
LP1117,Male,No,1,Graduate,No,10029,0,303.0,360.0,1.0,Rural,Y
LP1118,Female,No,3+,Graduate,No,8974,817,173.0,360.0,1.0,Rural,Y
LP1119,Male,Yes,0,Graduate,No,4820,0,94.0,360.0,1.0,Rural,Y
LP1120,Female,No,0,Graduate,No,4664,3081,252.0,360.0,1.0,Urban,Y
LP1121,Female,,0,Graduate,No,6200,2870,139.0,360.0,1.0,Rural,Y
LP1122,Male,No,0,Graduate,No,2651,2869,165.0,360.0,0.0,Semiurban,N
LP1123,Male,No,0,Graduate,No,4527,0,110.0,360.0,1.0,Semiurban,Y
LP1124,Male,Yes,1,Not Graduate,No,1222,5572,162.0,,1.0,Rural,Y
LP1125,Male,Yes,0,Graduate,,7524,1227,132.0,360.0,1.0,Semiurban,Y
LP1126,Female,Yes,0,Graduate,No,1742,0,54.0,360.0,1.0,Semiurban,Y
LP1127,Female,Yes,3+,Not Graduate,No,10960,1752,282.0,360.0,1.0,Rural,Y
LP1128,Male,Yes,2,Graduate,,3647,1111,122.0,360.0,1.0,Rural,Y
LP1129,Male,Yes,1,Not Graduate,No,3916,2904,194.0,360.0,1.0,Semiurban,Y
LP1130,Male,Yes,0,Graduate,No,3051,2509,,360.0,1.0,Rural,Y
LP1131,Male,No,1,Not Graduate,No,3741,0,127.0,360.0,0.0,Urban,N
LP1132,Male,No,0,Graduate,No,10416,0,266.0,360.0,1.0,Urban,Y
LP1133,Male,Yes,0,Graduate,No,1200,0,35.0,180.0,0.0,Rural,N
LP1134,Female,Yes,0,Graduate,Yes,9567,12218,650.0,360.0,1.0,Urban,Y
LP1135,Male,,2,Not Graduate,No,5446,4662,281.0,360.0,,Semiurban,N
LP1136,Male,Yes,0,Graduate,Yes,2155,3223,112.0,360.0,1.0,Semiurban,Y
LP1137,Male,No,0,Graduate,No,2332,0,40.0,360.0,1.0,Urban,Y
LP1138,Male,Yes,0,Graduate,No,12159,0,387.0,360.0,0.0,Urban,N
LP1139,Female,Yes,0,Graduate,No,2521,2736,116.0,360.0,0.0,Rural,N
LP1140,Female,Yes,2,Graduate,Yes,2226,1846,114.0,240.0,,Rural,Y
LP1141,Male,Yes,1,Graduate,No,8798,0,214.0,360.0,,Urban,Y
LP1142,Male,No,2,Not Graduate,No,5448,1694,135.0,360.0,1.0,Rural,Y
LP1143,Male,No,0,Graduate,No,2533,0,68.0,360.0,1.0,Semiurban,Y
LP1144,Male,Yes,0,Graduate,,5064,0,82.0,360.0,1.0,Semiurban,Y
LP1145,Male,Yes,0,Graduate,No,2403,1223,84.0,360.0,1.0,Rural,Y
LP1146,Male,Yes,0,Graduate,No,8608,0,223.0,360.0,0.0,Semiurban,N
LP1147,Male,No,0,Graduate,No,8407,1836,242.0,180.0,1.0,Semiurban,Y
LP1148,,No,2,Graduate,No,6119,0,183.0,360.0,1.0,Urban,Y
LP1149,Male,Yes,0,Graduate,No,5524,0,174.0,360.0,1.0,Urban,Y
LP1150,Female,Yes,0,Graduate,No,12793,0,389.0,360.0,1.0,Rural,Y
LP1151,Male,No,0,Graduate,No,4446,2640,111.0,360.0,1.0,Semiurban,Y
LP1152,Male,Yes,0,Not Graduate,Yes,2188,0,41.0,360.0,1.0,Semiurban,Y
LP1153,Male,No,0,Not Graduate,No,5823,3890,249.0,180.0,1.0,Semiurban,Y
LP1154,Female,Yes,,Graduate,No,15547,0,523.0,360.0,0.0,Urban,N
LP1155,Male,Yes,2,Not Graduate,No,2419,0,76.0,120.0,1.0,Semiurban,Y
LP1156,Male,Yes,3+,Graduate,No,3580,0,114.0,360.0,1.0,Urban,Y
LP1157,Male,Yes,0,Graduate,No,5709,3169,187.0,360.0,1.0,Rural,Y
LP1158,Male,Yes,0,Graduate,,4305,2738,166.0,360.0,0.0,Rural,N
LP1159,Male,No,0,Graduate,No,2466,0,60.0,360.0,1.0,Semiurban,Y
LP1160,Male,Yes,0,Not Graduate,No,8717,1810,191.0,180.0,1.0,Urban,Y
LP1161,Male,Yes,2,Graduate,No,17890,2519,318.0,360.0,1.0,Urban,Y
LP1162,Male,Yes,0,Graduate,No,5002,0,169.0,360.0,0.0,Rural,N
LP1163,Male,Yes,0,Graduate,No,2585,1439,79.0,360.0,1.0,Rural,Y
LP1164,Male,Yes,0,Graduate,Yes,1755,0,35.0,,1.0,Semiurban,Y
LP1165,Female,Yes,0,Graduate,No,5191,758,99.0,360.0,0.0,Rural,N
LP1166,Male,No,1,Graduate,No,8624,902,319.0,360.0,1.0,Semiurban,Y
LP1167,Male,Yes,,Graduate,No,5914,1955,209.0,120.0,1.0,Semiurban,Y
LP1168,Male,Yes,0,Not Graduate,No,4440,4372,249.0,360.0,1.0,Semiurban,Y
LP1169,Male,Yes,0,Not Graduate,No,3122,0,103.0,360.0,1.0,Urban,Y
LP1170,Male,No,0,Graduate,No,2309,1497,83.0,360.0,1.0,Urban,Y
LP1171,Male,No,2,Not Graduate,No,7338,0,201.0,360.0,1.0,Semiurban,Y
LP1172,Male,No,2,Graduate,No,7694,0,,180.0,1.0,Urban,Y
LP1173,Male,Yes,3+,Graduate,No,1759,2289,75.0,300.0,1.0,Semiurban,Y
LP1174,Male,Yes,2,Graduate,No,11543,545,382.0,480.0,0.0,Urban,N
LP1175,Male,Yes,0,Graduate,No,6275,5037,343.0,360.0,1.0,Semiurban,Y
LP1176,Male,Yes,1,Not Graduate,No,10298,0,226.0,240.0,1.0,Semiurban,Y
LP1177,Male,Yes,0,Graduate,No,1987,3221,117.0,240.0,1.0,Urban,Y
LP1178,Female,Yes,0,Graduate,No,1959,654,67.0,360.0,1.0,Semiurban,Y
LP1179,Male,Yes,2,Graduate,No,4066,0,61.0,,1.0,Urban,Y
LP1180,Male,Yes,0,Graduate,No,6012,0,119.0,360.0,1.0,Semiurban,Y
LP1181,Male,No,2,Not Graduate,No,13066,0,250.0,180.0,0.0,Urban,N
LP1182,Female,Yes,0,Graduate,No,6792,0,135.0,360.0,1.0,Semiurban,Y
LP1183,Female,Yes,1,Graduate,No,3844,2207,188.0,180.0,0.0,Urban,N
LP1184,Male,No,1,Graduate,No,2402,701,63.0,240.0,0.0,Rural,N
LP1185,Male,Yes,2,Graduate,Yes,9302,1477,202.0,360.0,1.0,Semiurban,Y
LP1186,Female,No,1,Graduate,No,2492,4119,165.0,360.0,1.0,Urban,Y
LP1187,Male,Yes,1,Graduate,No,11814,0,381.0,360.0,0.0,Semiurban,N
LP1188,Male,Yes,0,Graduate,No,3749,1830,110.0,360.0,0.0,Urban,N
LP1189,Male,No,0,Graduate,No,11548,0,191.0,360.0,1.0,Semiurban,Y
LP1190,Male,No,0,Not Graduate,No,6683,3030,214.0,360.0,1.0,Urban,Y
LP1191,Female,No,1,Not Graduate,Yes,4096,0,122.0,360.0,1.0,Urban,Y
LP1192,Female,Yes,0,Graduate,,3256,282,92.0,360.0,0.0,Rural,N
LP1193,Male,Yes,1,Graduate,No,3624,0,113.0,360.0,1.0,Urban,Y
LP1194,Male,Yes,0,Graduate,Yes,5750,0,196.0,360.0,1.0,Urban,Y
LP1195,Male,Yes,0,Graduate,Yes,4657,4731,289.0,360.0,0.0,Urban,N
LP1196,,No,1,Graduate,No,3114,0,84.0,360.0,1.0,Rural,Y
LP1197,Female,Yes,0,Graduate,No,4026,142,103.0,360.0,1.0,Rural,Y
LP1198,Female,No,0,Graduate,No,4661,0,73.0,360.0,1.0,Semiurban,Y
LP1199,Male,Yes,0,Graduate,No,1239,2283,122.0,360.0,,Rural,N
LP1200,Male,Yes,3+,Graduate,No,5854,0,132.0,360.0,1.0,Urban,Y
LP1201,Male,Yes,1,Graduate,No,2470,0,44.0,240.0,1.0,Rural,Y
LP1202,Male,No,0,Graduate,Yes,2226,0,63.0,360.0,1.0,Rural,Y
LP1203,Female,No,0,Graduate,No,1615,1415,62.0,360.0,1.0,Semiurban,Y
LP1204,Male,No,0,Graduate,No,1515,0,40.0,360.0,1.0,Urban,Y
LP1205,Male,No,2,Graduate,No,1971,0,52.0,360.0,1.0,Semiurban,Y
LP1206,Male,No,1,Graduate,No,2906,0,69.0,360.0,1.0,Semiurban,Y
LP1207,Male,No,0,Graduate,Yes,14356,0,455.0,360.0,1.0,Semiurban,Y
LP1208,Male,Yes,0,Graduate,No,3243,1461,95.0,360.0,1.0,Rural,Y
LP1209,Male,Yes,0,Graduate,No,4947,1313,150.0,360.0,1.0,Semiurban,Y
LP1210,Male,Yes,1,Not Graduate,No,5654,0,145.0,,1.0,Semiurban,Y
LP1211,Male,No,2,Graduate,No,4810,2233,199.0,360.0,1.0,Rural,Y
LP1212,Male,No,0,Graduate,No,4245,1603,179.0,360.0,0.0,Semiurban,N
LP1213,Male,Yes,0,Graduate,No,2170,0,49.0,360.0,1.0,Semiurban,Y
LP1214,Male,No,0,Graduate,No,10620,2667,370.0,180.0,1.0,Semiurban,Y
LP1215,Male,No,3+,Graduate,No,13151,0,236.0,360.0,1.0,Semiurban,Y
LP1216,Male,Yes,0,Graduate,No,1620,350,66.0,360.0,1.0,Urban,Y
LP1217,Male,Yes,2,Graduate,No,2405,0,54.0,360.0,1.0,Semiurban,Y
LP1218,Male,,1,Not Graduate,No,3759,2712,191.0,360.0,1.0,Rural,Y
LP1219,Female,Yes,0,Graduate,No,2493,1726,65.0,360.0,1.0,Rural,Y
LP1220,Male,No,0,Not Graduate,No,6024,0,115.0,240.0,1.0,Semiurban,Y
LP1221,Male,Yes,0,Not Graduate,No,2872,0,71.0,120.0,1.0,Semiurban,Y
LP1222,Male,No,1,Graduate,No,16301,1465,,360.0,1.0,Urban,Y
LP1223,,No,2,Not Graduate,No,9084,0,232.0,360.0,1.0,Urban,Y
LP1224,Male,No,1,Graduate,No,5052,1001,203.0,360.0,1.0,Semiurban,Y
LP1225,Male,Yes,0,Not Graduate,No,8235,3046,278.0,360.0,1.0,Semiurban,Y
LP1226,Female,No,0,Graduate,No,8634,5663,354.0,360.0,1.0,Rural,Y
LP1227,Male,No,3+,Graduate,No,3170,1292,77.0,360.0,1.0,Semiurban,Y
LP1228,Female,Yes,2,Graduate,Yes,2725,3311,187.0,360.0,1.0,Urban,Y
LP1229,Male,No,0,Graduate,No,4660,391,100.0,360.0,1.0,Rural,Y
LP1230,Female,Yes,3+,Graduate,No,7457,3064,347.0,300.0,1.0,Urban,Y
LP1231,Male,Yes,1,Graduate,Yes,4834,950,192.0,360.0,0.0,Semiurban,N
LP1232,Male,Yes,1,Graduate,No,1726,0,58.0,180.0,1.0,Urban,Y
LP1233,Male,Yes,2,Graduate,No,2747,1482,107.0,360.0,1.0,Semiurban,Y
LP1234,Male,Yes,2,Graduate,No,4254,5199,269.0,120.0,1.0,Rural,Y
LP1235,,No,1,Graduate,No,4249,0,129.0,360.0,1.0,Urban,Y
LP1236,Male,Yes,0,Not Graduate,No,14523,2987,308.0,360.0,1.0,Rural,Y
LP1237,Male,No,0,Graduate,No,1936,1445,91.0,480.0,1.0,Rural,Y
LP1238,Male,Yes,3+,Not Graduate,Yes,6023,0,94.0,360.0,1.0,Rural,Y
LP1239,Male,Yes,,Graduate,Yes,10866,1560,310.0,360.0,1.0,Rural,Y
LP1240,Female,Yes,0,Graduate,No,17376,0,314.0,360.0,1.0,Urban,Y
LP1241,Female,No,0,Graduate,No,3488,1787,98.0,120.0,1.0,Semiurban,Y
LP1242,Female,Yes,0,Not Graduate,No,5972,0,133.0,360.0,0.0,Urban,N
LP1243,Male,Yes,1,Graduate,Yes,6259,2192,199.0,180.0,,Urban,Y
LP1244,,No,3+,Graduate,Yes,5000,1934,190.0,360.0,1.0,Rural,Y
LP1245,Female,Yes,0,Graduate,No,4190,0,69.0,360.0,1.0,Semiurban,Y
LP1246,Male,Yes,0,Not Graduate,No,5776,3785,239.0,360.0,1.0,Rural,Y
LP1247,Female,Yes,0,Graduate,No,1200,780,36.0,360.0,1.0,Rural,Y
LP1248,Female,No,2,Graduate,No,6695,0,177.0,360.0,1.0,Rural,Y
LP1249,Female,Yes,1,Graduate,No,4796,699,152.0,360.0,1.0,Rural,Y
LP1250,Male,No,0,Graduate,No,3891,2893,177.0,360.0,1.0,Semiurban,Y
LP1251,Male,Yes,2,Graduate,No,15185,0,451.0,180.0,1.0,Semiurban,Y
LP1252,Female,No,2,Graduate,No,2966,0,64.0,180.0,1.0,Semiurban,Y
LP1253,Male,No,2,Graduate,No,3491,0,105.0,,1.0,Semiurban,Y
LP1254,Male,No,3+,Graduate,Yes,14690,0,347.0,360.0,1.0,Urban,Y
LP1255,Male,Yes,0,Graduate,No,2699,985,90.0,360.0,1.0,Rural,Y
LP1256,Female,No,2,Not Graduate,No,3196,5327,238.0,,1.0,Rural,Y
LP1257,Male,Yes,0,Not Graduate,No,4071,0,62.0,360.0,1.0,Urban,Y
LP1258,Male,Yes,2,Graduate,No,7364,0,206.0,360.0,1.0,Semiurban,Y
LP1259,Male,Yes,1,Graduate,No,5037,0,137.0,360.0,1.0,Semiurban,Y
LP1260,Male,No,2,Graduate,No,2047,3129,109.0,360.0,1.0,Semiurban,Y
LP1261,Female,No,1,Not Graduate,No,3231,0,54.0,360.0,1.0,Semiurban,Y
LP1262,Male,No,0,Graduate,No,3088,4596,129.0,360.0,1.0,Urban,Y
LP1263,Male,Yes,0,Graduate,No,4245,2764,234.0,360.0,1.0,Semiurban,Y
LP1264,Female,Yes,3+,Graduate,No,5741,0,165.0,360.0,1.0,Semiurban,Y
LP1265,Male,No,3+,Graduate,No,5715,1183,121.0,360.0,1.0,Semiurban,Y
LP1266,Male,Yes,0,Graduate,No,1532,1153,59.0,360.0,1.0,Urban,Y
LP1267,Male,Yes,0,Graduate,No,8419,2653,297.0,360.0,1.0,Urban,Y
LP1268,Male,Yes,0,Graduate,No,5174,221,171.0,360.0,0.0,Urban,N
LP1269,Male,Yes,1,Graduate,No,10205,0,161.0,360.0,1.0,Urban,Y
LP1270,Female,Yes,2,Graduate,No,5805,0,114.0,360.0,1.0,Rural,Y
LP1271,Female,Yes,0,Graduate,No,8610,2036,349.0,360.0,1.0,Semiurban,Y
LP1272,Female,Yes,0,Graduate,No,5883,0,89.0,360.0,0.0,Urban,N
LP1273,Female,Yes,2,Graduate,No,9973,0,189.0,360.0,0.0,Rural,N
LP1274,Male,No,1,Not Graduate,No,6083,0,207.0,360.0,1.0,Urban,Y
LP1275,Male,Yes,0,Graduate,No,4193,0,114.0,360.0,1.0,Rural,Y
LP1276,Female,Yes,1,Graduate,Yes,17386,2007,392.0,180.0,1.0,Semiurban,Y
LP1277,Male,No,0,Graduate,No,7581,0,123.0,480.0,1.0,Urban,Y
LP1278,Male,Yes,0,Graduate,No,6274,1235,116.0,300.0,1.0,Semiurban,Y
LP1279,Female,No,0,Graduate,No,2067,933,59.0,360.0,1.0,Urban,Y
LP1280,Female,No,1,Graduate,No,2052,0,66.0,360.0,1.0,Semiurban,Y
LP1281,Male,Yes,2,Not Graduate,No,5300,0,123.0,360.0,1.0,Semiurban,Y
LP1282,Male,Yes,,Graduate,No,4852,1701,192.0,360.0,1.0,Urban,Y
LP1283,Male,No,2,Graduate,Yes,3076,0,102.0,,1.0,Urban,Y
LP1284,Male,No,0,Graduate,No,4839,2106,160.0,360.0,1.0,Semiurban,Y
LP1285,Male,Yes,0,Graduate,No,11535,1756,250.0,180.0,1.0,Urban,Y
LP1286,Male,Yes,0,Graduate,No,6749,0,171.0,120.0,0.0,Urban,N
LP1287,Male,,0,Graduate,No,2242,1190,113.0,360.0,0.0,Semiurban,N
LP1288,Male,No,1,Graduate,No,4159,21194,650.0,360.0,1.0,Urban,Y
LP1289,Male,Yes,3+,Graduate,No,2743,0,44.0,300.0,1.0,Rural,Y
LP1290,Male,No,0,Graduate,No,3524,668,120.0,,0.0,Urban,N
LP1291,,Yes,0,Graduate,No,3469,2178,149.0,360.0,1.0,Urban,Y
LP1292,Female,Yes,2,Graduate,Yes,3338,0,110.0,360.0,1.0,Semiurban,Y
LP1293,Male,Yes,0,Graduate,Yes,2094,803,50.0,360.0,1.0,Urban,Y
LP1294,Male,Yes,0,Not Graduate,No,4119,618,121.0,360.0,1.0,Rural,Y
LP1295,Male,Yes,1,Graduate,No,3176,2554,186.0,180.0,1.0,Urban,Y
LP1296,Male,,1,Graduate,Yes,1200,1048,52.0,360.0,0.0,Semiurban,N
LP1297,Male,Yes,0,Graduate,Yes,15241,3921,472.0,360.0,1.0,Urban,Y
LP1298,Male,No,0,Graduate,No,8546,0,140.0,360.0,1.0,Rural,Y
LP1299,Male,Yes,2,Graduate,No,3548,5426,184.0,360.0,1.0,Semiurban,Y
LP1300,Male,Yes,,Graduate,,4497,0,96.0,360.0,1.0,Rural,Y
LP1301,Male,No,0,Not Graduate,No,2201,2644,164.0,360.0,1.0,Rural,Y
